matrix_levenshtein,recurs_levenshtein,memo_levenshtein,damerau_levenshtein
1.833,1.316,2.296,1.521
3.197,5.313,5.942,3.268
5.658,27.062,12.569,6.159
8.879,142.767,21.676,10.286
13.221,770.604,36.284,17.050
17.051,3766.914,46.917,21.460
21.546,19985.579,62.689,28.966
27.777,108254.140,87.913,38.761
35.359,607252.302,115.044,49.243
40.872,3338151.763,132.939,57.089
46.584,,133.016,57.386
40.872,3338151.763,132.939,57.089
154.048,,459.356,193.552
332.489,,1024.083,424.310
578.928,,1849.603,738.465
886.866,,3173.269,1153.285
1304.971,,4915.784,1674.950
1771.331,,6825.604,2254.049
2292.528,,8963.647,2938.029
2887.955,,11290.257,3704.933
3595.309,,14109.328,4667.696
