matrix_levenshtein,recurs_levenshtein,memo_levenshtein,damerau_levenshtein
1.833,1.316,2.296,1.5206666666666666
3.1966666666666668,5.313,5.942333333333333,3.268
5.657666666666667,27.062,12.569,6.158666666666667
8.879333333333333,142.76666666666668,21.676333333333332,10.285666666666666
13.221,770.604,36.284333333333336,17.050333333333334
17.051,3766.913666666667,46.916666666666664,21.460333333333335
21.546333333333333,19985.579333333335,62.68933333333333,28.966
27.777,108254.14,87.91333333333333,38.761
35.35933333333333,607252.3016666666,115.04433333333333,49.24333333333333
40.87166666666667,3338151.763,132.93933333333334,57.089333333333336
46.58433333333333,,133.016,57.386
55.35466666666667,,160.557,68.86766666666666
71.34233333333333,,211.913,90.11966666666666
82.64433333333334,,240.75433333333334,101.597
94.18333333333334,,283.628,118.75133333333333
96.63333333333334,,285.1766666666667,121.11966666666666
118.296,,352.658,148.65833333333333
123.18366666666667,,366.711,154.77333333333334
141.53466666666668,,435.9223333333333,181.74366666666666
154.04766666666666,,459.356,193.552
164.85633333333334,,501.91966666666667,210.87633333333332
180.28466666666668,,542.378,228.29866666666666
197.692,,604.6243333333333,249.71366666666665
216.19966666666667,,655.7396666666667,279.34866666666665
233.628,,711.1693333333334,301.71633333333335
254.853,,774.6913333333333,319.957
268.413,,824.6013333333333,340.516
312.64566666666667,,947.388,393.05766666666665
317.8913333333333,,947.3783333333333,401.408
332.489,,1024.0826666666667,424.30966666666666
363.2153333333333,,1101.655,455.49466666666666
374.2726666666667,,1156.6846666666668,487.86833333333334
397.68466666666666,,1220.9623333333334,512.7713333333334
423.2253333333333,,1278.5176666666666,536.646
443.8586666666667,,1362.1086666666667,568.7236666666666
476.78866666666664,,1471.0553333333332,607.145
495.1426666666667,,1537.814,633.7913333333333
519.3733333333333,,1622.7853333333333,666.7516666666667
551.86,,1725.5743333333332,705.2
578.928,,1849.6033333333332,738.4653333333333
615.6756666666666,,1962.0016666666668,781.1336666666666
653.8623333333334,,2160.4183333333335,846.1206666666667
674.4116666666666,,2210.056666666667,862.2116666666667
695.953,,2355.4146666666666,898.456
731.883,,2492.2563333333333,941.0703333333333
766.5306666666667,,2627.8443333333335,979.7333333333333
797.011,,2770.127,1032.1256666666666
824.0256666666667,,2892.956,1065.467
866.5803333333333,,3021.9383333333335,1106.165
886.8663333333334,,3173.269,1153.285
938.445,,3406.3486666666668,1200.4256666666668
976.5293333333333,,3607.2573333333335,1248.854
1009.3913333333334,,3721.3976666666667,1290.582
1063.836,,3899.5913333333333,1343.441
1101.8706666666667,,4067.8546666666666,1391.452
1120.9046666666666,,4194.317333333333,1431.5506666666668
1159.962,,4372.44,1482.4726666666666
1196.5286666666666,,4546.792666666666,1537.817
1259.566,,4706.257,1599.8636666666666
1304.9706666666666,,4915.783666666666,1674.9503333333334
1334.147,,5081.058666666667,1708.4643333333333
1370.2406666666666,,5246.911666666667,1765.622
1421.402,,5422.358333333334,1819.371
1484.1403333333333,,5669.6286666666665,1909.3893333333333
1515.8576666666668,,5809.587,1934.2556666666667
1566.7696666666666,,6008.853,2029.6063333333334
1631.4916666666666,,6222.556666666666,2087.6963333333333
1661.8443333333332,,6395.464,2120.711333333333
1730.0353333333333,,6660.565,2225.625666666667
1771.3306666666667,,6825.604333333334,2254.0493333333334
1823.619,,7063.033666666666,2317.7363333333333
1862.4553333333333,,7241.566333333333,2388.5073333333335
1892.3686666666667,,7503.427,2459.352
1971.0706666666667,,7697.734,2509.4583333333335
2070.8783333333336,,8148.291666666667,2624.111
2080.598,,8170.942,2678.776
2135.737,,8406.278333333334,2737.0776666666666
2174.9746666666665,,8561.937666666667,2783.958666666667
2257.8636666666666,,8725.423,2883.3403333333335
2292.528333333333,,8963.646666666667,2938.0293333333334
2399.056,,9258.402,3023.8296666666665
2441.4846666666667,,9421.856666666667,3089.6756666666665
2461.46,,9592.316666666668,3114.653
2521.059333333333,,9860.118333333334,3272.655333333333
2902.12,,10097.461666666666,3610.348
2645.1003333333333,,10325.585666666666,3372.833666666667
2711.601,,10732.973,3471.2356666666665
2778.5523333333335,,10916.303333333333,3558.302
3217.904,,11218.579,3992.8196666666668
2887.9553333333333,,11290.256666666666,3704.9326666666666
2962.644333333333,,11586.743,3774.597333333333
3005.6803333333332,,11799.841333333334,3849.891
3081.712666666667,,12022.120333333334,3930.395666666667
3224.675333333333,,12778.196333333333,4155.631
3237.2213333333334,,12710.288333333334,4171.083666666666
3310.2836666666667,,12848.113,4264.251666666667
3363.0216666666665,,13094.677,4295.362
3391.941333333333,,13389.956,4362.603
3520.4313333333334,,13639.522,4484.887333333333
3595.308666666667,,14109.327666666666,4667.6956666666665
